id,code,name_in_thai,name_in_english,province_id
1,1001,"เขต พระนคร","Phra Nakhon",1
2,1002,"เขต ดุสิต","Dusit",1
3,1003,"เขต หนองจอก","Nong Chok",1
4,1004,"เขต บางรัก","Bang Rak",1
5,1005,"เขต บางเขน","Bang Khen",1
6,1006,"เขต บางกะปิ","Bang Kapi",1
7,1007,"เขต ปทุมวัน","Pathum Wan",1
8,1008,"เขต ป้อมปราบศัตรูพ่าย","Pom Prap Sattruphai",1
9,1009,"เขต พระโขนง","Phra Khanong",1
10,1010,"เขต มีนบุรี","Min Buri",1
11,1011,"เขต ลาดกระบัง","Lat Krabang",1
12,1012,"เขต ยานนาวา","Yannawa",1
13,1013,"เขต สัมพันธวงศ์","Samphanthawong",1
14,1014,"เขต พญาไท","Phaya Thai",1
15,1015,"เขต ธนบุรี","Thon Buri",1
16,1016,"เขต บางกอกใหญ่","Bangkok Yai",1
17,1017,"เขต ห้วยขวาง","Huai Khwang",1
18,1018,"เขต คลองสาน","Khlong San",1
19,1019,"เขต ตลิ่งชัน","Taling Chan",1
20,1020,"เขต บางกอกน้อย","Bangkok Noi",1
21,1021,"เขต บางขุนเทียน","Bang Khun Thian",1
22,1022,"เขต ภาษีเจริญ","Phasi Charoen",1
23,1023,"เขต หนองแขม","Nong Khaem",1
24,1024,"เขต ราษฎร์บูรณะ","Rat Burana",1
25,1025,"เขต บางพลัด","Bang Phlat",1
26,1026,"เขต ดินแดง","Din Daeng",1
27,1027,"เขต บึงกุ่ม","Bung Kum",1
28,1028,"เขต สาทร","Sa Thon",1
29,1029,"เขต บางซื่อ","Bang Su",1
30,1030,"เขต จตุจักร","Chatuchak",1
31,1031,"เขต บางคอแหลม","Bang Kho Laem",1
32,1032,"เขต ประเวศ","Prawet",1
33,1033,"เขต คลองเตย","Khlong Toei",1
34,1034,"เขต สวนหลวง","Suan Luang",1
35,1035,"เขต จอมทอง","Chom Thong",1
36,1036,"เขต ดอนเมือง","Don Mueang",1
37,1037,"เขต ราชเทวี","Rat Thewi",1
38,1038,"เขต ลาดพร้าว","Lat Phrao",1
39,1039,"เขต วัฒนา","Watthana",1
40,1040,"เขต บางแค","Bang Khae",1
41,1041,"เขต หลักสี่","Lak Si",1
42,1042,"เขต สายไหม","Sai Mai",1
43,1043,"เขต คันนายาว","Khanna Yao",1
44,1044,"เขต สะพานสูง","Saphan Sung",1
45,1045,"เขต วังทองหลาง","Wang Thong Lang",1
46,1046,"เขต คลองสามวา","Khlong Sam Wa",1
47,1047,"เขต บางนา","Bang Na",1
48,1048,"เขต ทวีวัฒนา","Thawi Watthana",1
49,1049,"เขต ทุ่งครุ","Thung Khu",1
50,1050,"เขต บางบอน","Bang Bon",1
51,1101,"เมืองสมุทรปราการ","Mueang Samut Prakan",2
52,1102,"บางบ่อ","Bang Bo",2
53,1103,"บางพลี","Bang Phli",2
54,1104,"พระประแดง","Phra Pradaeng",2
55,1105,"พระสมุทรเจดีย์","Phra Samut Chedi",2
56,1106,"บางเสาธง","Bang Sao Thong",2
57,1201,"เมืองนนทบุรี","Mueang Nonthaburi",3
58,1202,"บางกรวย","Bang Kruai",3
59,1203,"บางใหญ่","Bang Yai",3
60,1204,"บางบัวทอง","Bang Bua Thong",3
61,1205,"ไทรน้อย","Sai Noi",3
62,1206,"ปากเกร็ด","Pak Kret",3
63,1301,"เมืองปทุมธานี","Mueang Pathum Thani",4
64,1302,"คลองหลวง","khlong Luang",4
65,1303,"ธัญบุรี","Thanyaburi",4
66,1304,"หนองเสือ","Nong Suea",4
67,1305,"ลาดหลุมแก้ว","Lat Lum Kaeo",4
68,1306,"ลำลูกกา","Lam Luk Ka",4
69,1307,"สามโคก","Sam Khok",4
70,1401,"พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya",5
71,1402,"ท่าเรือ","Tha Ruea",5
72,1403,"นครหลวง","Nakhon Luang",5
73,1404,"บางไทร","Bang Sai",5
74,1405,"บางบาล","Bang Ban",5
75,1406,"บางปะอิน","Bang Pa-in",5
76,1407,"บางปะหัน","Bang Pahan",5
77,1408,"ผักไห่","Phak Hai",5
78,1409,"ภาชี","Phachi",5
79,1410,"ลาดบัวหลวง","Lat Bua Luang",5
80,1411,"วังน้อย","Wang Noi",5
81,1412,"เสนา","Sena",5
82,1413,"บางซ้าย","Bang Sai",5
83,1414,"อุทัย","Uthai",5
84,1415,"มหาราช","Maha Rat",5
85,1416,"บ้านแพรก","Ban Phraek",5
86,1501,"เมืองอ่างทอง","Mueang Ang Thong",6
87,1502,"ไชโย","Chaiyo",6
